Test Sector:
Device ID, Channel, Tile ID, trial, x, y, IMON, RMON, VCOMP
xorigincm, xfinalcm, xsteplengthcm, xsteps = 13.5, 13.5, 0, 64
yorigincm, yfinalcm, ysteplengthcm, nRepeat = 18, 34, 0.25, 1
0, 2, 4, 0, 13.5, 18, 0.360, 1.389, 0.004


0, 2, 4, 0, 13.5, 18.25, 0.360, 1.386, 0.004


0, 2, 4, 0, 13.5, 18.5, 0.370, 1.390, 0.004


0, 2, 4, 0, 13.5, 18.75, 0.370, 1.380, 0.004


0, 2, 4, 0, 13.5, 19, 0.370, 1.380, 0.004


0, 2, 4, 0, 13.5, 19.25, 0.370, 1.389, 0.004


0, 2, 4, 0, 13.5, 19.5, 0.360, 1.395, 0.004


0, 2, 4, 0, 13.5, 19.75, 0.370, 1.387, 0.004


0, 2, 4, 0, 13.5, 20, 0.380, 1.385, 0.004


0, 2, 4, 0, 13.5, 20.25, 0.370, 1.376, 0.004


0, 2, 4, 0, 13.5, 20.5, 0.380, 1.392, 0.004


0, 2, 4, 0, 13.5, 20.75, 0.380, 1.384, 0.004


0, 2, 4, 0, 13.5, 21, 0.390, 1.386, 0.004


0, 2, 4, 0, 13.5, 21.25, 0.400, 1.390, 0.004


0, 2, 4, 0, 13.5, 21.5, 0.410, 1.369, 0.004


0, 2, 4, 0, 13.5, 21.75, 0.460, 1.392, 0.004


0, 2, 4, 0, 13.5, 22, 0.530, 1.388, 0.004


0, 2, 4, 0, 13.5, 22.25, 0.620, 1.394, 0.004


0, 2, 4, 0, 13.5, 22.5, 0.740, 1.377, 0.004


0, 2, 4, 0, 13.5, 22.75, 0.820, 1.383, 0.004


0, 2, 4, 0, 13.5, 23, 0.970, 1.411, 0.004


0, 2, 4, 0, 13.5, 23.25, 1.030, 1.379, 0.004


0, 2, 4, 0, 13.5, 23.5, 1.100, 1.391, 0.004


0, 2, 4, 0, 13.5, 23.75, 1.130, 1.385, 0.004


0, 2, 4, 0, 13.5, 24, 1.130, 1.397, 0.004


0, 2, 4, 0, 13.5, 24.25, 1.160, 1.370, 0.004


0, 2, 4, 0, 13.5, 24.5, 1.150, 1.398, 0.004


0, 2, 4, 0, 13.5, 24.75, 1.180, 1.370, 0.004


0, 2, 4, 0, 13.5, 25, 1.180, 1.372, 0.004


0, 2, 4, 0, 13.5, 25.25, 1.110, 1.381, 0.004


0, 2, 4, 0, 13.5, 25.5, 1.050, 1.384, 0.004


0, 2, 4, 0, 13.5, 25.75, 0.980, 1.379, 0.004


0, 2, 4, 0, 13.5, 26, 0.850, 1.368, 0.004


0, 2, 4, 0, 13.5, 26.25, 0.720, 1.390, 0.004


0, 2, 4, 0, 13.5, 26.5, 0.590, 1.394, 0.004


0, 2, 4, 0, 13.5, 26.75, 0.510, 1.379, 0.004


0, 2, 4, 0, 13.5, 27, 0.450, 1.384, 0.004


0, 2, 4, 0, 13.5, 27.25, 0.410, 1.387, 0.004


0, 2, 4, 0, 13.5, 27.5, 0.400, 1.392, 0.004


0, 2, 4, 0, 13.5, 27.75, 0.390, 1.386, 0.004


0, 2, 4, 0, 13.5, 28, 0.380, 1.379, 0.004


0, 2, 4, 0, 13.5, 28.25, 0.370, 1.381, 0.004


0, 2, 4, 0, 13.5, 28.5, 0.370, 1.387, 0.004


0, 2, 4, 0, 13.5, 28.75, 0.370, 1.381, 0.004


0, 2, 4, 0, 13.5, 29, 0.360, 1.385, 0.004


0, 2, 4, 0, 13.5, 29.25, 0.350, 1.389, 0.004


0, 2, 4, 0, 13.5, 29.5, 0.360, 1.401, 0.004


0, 2, 4, 0, 13.5, 29.75, 0.360, 1.386, 0.004


0, 2, 4, 0, 13.5, 30, 0.360, 1.386, 0.004


0, 2, 4, 0, 13.5, 30.25, 0.360, 1.382, 0.004


0, 2, 4, 0, 13.5, 30.5, 0.360, 1.385, 0.004


0, 2, 4, 0, 13.5, 30.75, 0.350, 1.388, 0.004


0, 2, 4, 0, 13.5, 31, 0.360, 1.378, 0.004


0, 2, 4, 0, 13.5, 31.25, 0.360, 1.385, 0.004


0, 2, 4, 0, 13.5, 31.5, 0.370, 1.400, 0.004


0, 2, 4, 0, 13.5, 31.75, 0.350, 1.386, 0.004


0, 2, 4, 0, 13.5, 32, 0.360, 1.385, 0.004


0, 2, 4, 0, 13.5, 32.25, 0.350, 1.397, 0.004


0, 2, 4, 0, 13.5, 32.5, 0.360, 1.384, 0.004


0, 2, 4, 0, 13.5, 32.75, 0.350, 1.384, 0.004


0, 2, 4, 0, 13.5, 33, 0.360, 1.385, 0.004


0, 2, 4, 0, 13.5, 33.25, 0.360, 1.391, 0.004


0, 2, 4, 0, 13.5, 33.5, 0.360, 1.399, 0.004


0, 2, 4, 0, 13.5, 33.75, 0.350, 1.391, 0.004


