Test Run for Data taking:
Trial, Device, Channel, Tile, IMON, RMON, VCOMP
 
3, 0, 13, 28, 0.320, 1.377, 0.004

 
3, 0, 14, 30, 0.360, 1.390, 0.004

 
3, 0, 15, 32, 4.270, 1.337, 0.004

 
3, 1, 0, 1, 0.430, 1.366, 0.004

 
3, 1, 1, 3, 0.080, 1.381, 0.004

 
3, 1, 2, 5, 0.440, 1.375, 0.004

 
3, 1, 3, 7, 0.400, 1.363, 0.004

 
3, 1, 4, 9, 0.420, 1.375, 0.004

 
3, 1, 5, 11, 0.460, 1.356, 0.004

 
3, 1, 6, 13, 0.410, 1.372, 0.004

 
3, 1, 7, 15, 0.400, 1.368, 0.004

 
3, 1, 8, 17, 0.450, 1.370, 0.004

 
3, 1, 9, 19, 0.260, 1.358, 0.004

 
3, 1, 10, 21, 0.150, 1.367, 0.004

 
3, 1, 11, 23, 0.260, 1.367, 0.004

 
3, 1, 12, 25, 0.290, 1.371, 0.004

 
3, 1, 13, 27, 0.270, 1.364, 0.004

 
3, 1, 14, 29, 0.300, 1.375, 0.004

 
3, 1, 15, 31, 0.310, 1.365, 0.004

 
4, 0, 0, 2, 0.340, 1.390, 0.004

 
4, 0, 1, 4, 0.390, 1.385, 0.004

 
4, 0, 2, 6, 0.360, 1.393, 0.004

 
4, 0, 3, 8, 0.450, 1.394, 0.004

 
4, 0, 4, 10, 0.350, 1.383, 0.004

 
4, 0, 5, 12, 0.410, 1.385, 0.004

 
4, 0, 6, 14, 0.340, 1.396, 0.004

 
4, 0, 7, 16, 0.390, 1.386, 0.004

 
4, 0, 8, 18, 0.380, 1.385, 0.004

 
4, 0, 9, 20, 0.350, 1.383, 0.004

 
4, 0, 10, 22, 0.370, 1.371, 0.004

 
4, 0, 11, 24, 0.300, 1.394, 0.004

 
4, 0, 12, 26, 0.400, 1.381, 0.004

 
4, 0, 13, 28, 0.320, 1.389, 0.004

 
4, 0, 14, 30, 0.360, 1.390, 0.004

 
4, 0, 15, 32, 4.290, 1.315, 0.004

 
4, 1, 0, 1, 0.430, 1.373, 0.004

 
4, 1, 1, 3, 0.080, 1.383, 0.004

 
4, 1, 2, 5, 0.440, 1.372, 0.004

 
4, 1, 3, 7, 0.410, 1.357, 0.004
