Test Run for Data taking:
Trial, Device, Channel, Tile, IMON, RMON, VCOMP
14, 1, 9, 19, 0.330, 1.374, 0.004

 
14, 1, 10, 21, 0.170, 1.370, 0.004

 
14, 1, 11, 23, 0.260, 1.373, 0.004

 
14, 1, 12, 25, 0.370, 1.372, 0.004

 
14, 1, 13, 27, 0.270, 1.374, 0.004

 
14, 1, 14, 29, 0.290, 1.370, 0.004

 
14, 1, 15, 31, 0.300, 1.374, 0.004

 
15, 0, 0, 2, 0.340, 1.390, 0.004

 
15, 0, 1, 4, 0.380, 1.380, 0.004

 
15, 0, 2, 6, 0.350, 1.393, 0.004

 
15, 0, 3, 8, 0.450, 1.392, 0.004

 
15, 0, 4, 10, 0.360, 1.373, 0.004

 
15, 0, 5, 12, 0.400, 1.386, 0.004

 
15, 0, 6, 14, 0.350, 1.375, 0.004

 
